symbol,date,price
Budget,1980,4500000
Budget,1981,18000000
Budget,1982,3500000
Budget,1983,6000000
Budget,1984,550000
Budget,1985,27000000
Budget,1986,18000000
Budget,1987,54000000
Budget,1988,10000000
Budget,1989,15000000
Budget,1990,5000000
Budget,1991,20000000
Budget,1992,6000000
Budget,1993,6500000
Budget,1994,5100000
Budget,1995,
Budget,1996,10000000
Budget,1997,1000000
Budget,1998,
Budget,1999,28000000
Budget,2000,2500000
Budget,2001,14000000
Budget,2002,32000000
Budget,2003,
Budget,2004,12000000
Budget,2005,5500000
Budget,2006,12000000
Budget,2007,6500000
Budget,2008,10000000
Budget,2009,7000000
Budget,2010,
Budget,2011,
Budget,2012,3000000
Budget,2013,11000000
Budget,2014,1000000
Budget,2015,18000000
Budget,2016,3000000
Budget,2017,12500000
Budget,2018,5000000
Budget,2019,5000000
Budget,2020,2800000
Budget,1980,12000000
Budget,1981,
Budget,1982,2500000
Budget,1983,8500000
Budget,1984,
Budget,1985,16000000
Budget,1986,
Budget,1987,12000000
Budget,1988,400000
Budget,1989,
Budget,1990,
Budget,1991,
Budget,1992,26000000
Budget,1993,
Budget,1994,
Budget,1995,10000000
Budget,1996,8000000
Budget,1997,5000000
Budget,1998,
Budget,1999,
Budget,2000,8500000
Budget,2001,
Budget,2002,
Budget,2003,17000000
Budget,2004,
Budget,2005,8600000
Budget,2006,
Budget,2007,
Budget,2008,
Budget,2009,
Budget,2010,
Budget,2011,800000
Budget,2012,
Budget,2013,20000000
Budget,2014,6000000
Budget,2015,
Budget,2016,
Budget,2017,
Budget,2018,250000
Budget,2019,8000000
Budget,2020,22000000
Budget,1980,1500000
Budget,1981,18000000
Budget,1982,14000000
Budget,1983,
Budget,1984,3800000
Budget,1985,2700000
Budget,1986,
Budget,1987,10000000
Budget,1988,11000000
Budget,1989,
Budget,1990,12000000
Budget,1991,
Budget,1992,3500000
Budget,1993,
Budget,1994,13000000
Budget,1995,46000000
Budget,1996,14000000
Budget,1997,12000000
Budget,1998,16000000
Budget,1999,
Budget,2000,24000000
Budget,2001,
Budget,2002,2000000
Budget,2003,
Budget,2004,
Budget,2005,
Budget,2006,
Budget,2007,
Budget,2008,
Budget,2009,
Budget,2010,4500000
Budget,2011,28000000
Budget,2012,15000000
Budget,2013,20000000
Budget,2014,10500000
Budget,2015,15000000
Budget,2016,7500000
Budget,2017,13200000
Budget,2018,50000000
Budget,2019,10700000
Budget,2020,12000000
Budget,1980,11200000
Budget,1981,
Budget,1982,
Budget,1983,12000000
Budget,1984,22000000
Budget,1985,21000000
Budget,1986,17000000
Budget,1987,7000000
Budget,1988,20000000
Budget,1989,17000000
Budget,1990,8000000
Budget,1991,8000000
Budget,1992,3500000
Budget,1993,12000000
Budget,1994,18000000
Budget,1995,6000000
Budget,1996,2300000
Budget,1997,18000000
Budget,1998,2500000
Budget,1999,15000000
Budget,2000,16000000
Budget,2001,300000
Budget,2002,
Budget,2003,
Budget,2004,17000000
Budget,2005,5000000
Budget,2006,35000000
Budget,2007,13000000
Budget,2008,
Budget,2009,
Budget,2010,
Budget,2011,3500000
Budget,2012,9000000
Budget,2013,15000000
Budget,2014,17000000
Budget,2015,425000
Budget,2016,10000000
Budget,2017,
Budget,2018,
Budget,2019,6500000
Budget,2020,9000000
Budget,1980,
Budget,1981,
Budget,1982,
Budget,1983,457000
Budget,1984,6500000
Budget,1985,19000000
Budget,1986,
Budget,1987,12000000
Budget,1988,15000000
Budget,1989,5000000
Budget,1990,
Budget,1991,
Budget,1992,7000000
Budget,1993,800000
Budget,1994,15000000
Budget,1995,
Budget,1996,3000000
Budget,1997,4520000
Budget,1998,14500000
Budget,1999,
Budget,2000,250000
Budget,2001,
Budget,2002,25000000
Budget,2003,14000000
Budget,2004,1250000
Budget,2005,14400000
Budget,2006,19000000
Budget,2007,
Budget,2008,
Budget,2009,8000000
Budget,2010,2500000
Budget,2011,
Budget,2012,
Budget,2013,9500000
Budget,2014,6000000
Budget,2015,
Budget,2016,6500000
Budget,2017,700000
Budget,2018,
Budget,2019,
Budget,2020,
Budget,1980,9000000
Budget,1981,
Budget,1982,8000000
Budget,1983,
Budget,1984,
Budget,1985,4000000
Budget,1986,11000000
Budget,1987,8000000
Budget,1988,11800000
Budget,1989,12000000
Budget,1990,5000000
Budget,1991,
Budget,1992,
Budget,1993,
Budget,1994,
Budget,1995,19000000
Budget,1996,6000000
Budget,1997,10000000
Budget,1998,5000000
Budget,1999,
Budget,2000,
Budget,2001,3000000
Budget,2002,
Budget,2003,
Budget,2004,
Budget,2005,
Budget,2006,550000
Budget,2007,5500000
Budget,2008,12000000
Budget,2009,
Budget,2010,
Budget,2011,
Budget,2012,220000
Budget,2013,300000
Budget,2014,
Budget,2015,10100000
Budget,2016,8000000
Budget,2017,
Budget,2018,5000000
Budget,2019,
Budget,2020,
Budget,1980,
Budget,1981,
Budget,1982,
Budget,1983,
Budget,1984,
Budget,1985,
Budget,1986,100000
Budget,1987,
Budget,1988,3000000
Budget,1989,50000
Budget,1990,
Budget,1991,
Budget,1992,2500000
Budget,1993,3000
Budget,1994,
Budget,1995,
Budget,1996,323562
Budget,1997,6400000
Budget,1998,40000000
Budget,1999,30000000
Budget,2000,8000000
Budget,2001,30000000
Budget,2002,4500000
Budget,2003,28000000
Budget,2004,10000000
Budget,2005,1800000
Budget,2006,18000000
Budget,2007,14000000
Budget,2008,17000000
Budget,2009,27000000
Budget,2010,8200000
Budget,2011,8000000
Budget,2012,11000000
Budget,2013,10000000
Budget,2014,14500000
Budget,2015,6500000
Budget,2016,
Budget,2017,2500000
Budget,2018,
Budget,2019,9000000
Budget,2020,18000000
Budget,1980,800000
Budget,1981,15000000
Budget,1982,8000000
Budget,1983,1500000
Budget,1984,28000000
Budget,1985,5000000
Budget,1986,1000000
Budget,1987,2600000
Budget,1988,
Budget,1989,13000000
Budget,1990,35000000
Budget,1991,25000000
Budget,1992,15000000
Budget,1993,1250000
Budget,1994,9000000
Budget,1995,
Budget,1996,
Budget,1997,17000000
Budget,1998,1500000
Budget,1999,28000000
Budget,2000,14400000
Budget,2001,58000000
Budget,2002,22000000
Budget,2003,700000
Budget,2004,
Budget,2005,
Budget,2006,
Budget,2007,21000000
Budget,2008,
Budget,2009,7000000
Budget,2010,20000000
Budget,2011,90000
Budget,2012,9000000
Budget,2013,16000000
Budget,2014,7200000
Budget,2015,7500000
Budget,2016,
Budget,2017,25000000
Budget,2018,2550000
Budget,2019,30000000
Budget,2020,
Budget,1980,
Budget,1981,12000000
Budget,1982,
Budget,1983,
Budget,1984,12000000
Budget,1985,2000000
Budget,1986,5500000
Budget,1987,
Budget,1988,
Budget,1989,6500000
Budget,1990,1065000
Budget,1991,8000000
Budget,1992,
Budget,1993,
Budget,1994,
Budget,1995,
Budget,1996,
Budget,1997,28000000
Budget,1998,
Budget,1999,
Gross,2000,
Gross,2001,46998772
Gross,2002,58853106
Gross,2003,538375067
Gross,2004,83453539
Gross,2005,39846344
Gross,2006,39754601
Gross,2007,115229890
Gross,2008,23402427
Gross,2009,108185706
Gross,2010,15795189
Gross,2011,70687344
Gross,2012,30031783
Gross,2013,49823037
Gross,2014,54766923
Gross,2015,31899000
Gross,2016,9709597
Gross,2017,21202829
Gross,2018,103300686
Gross,2019,21448782
Gross,2020,14225876
Gross,1980,54813222
Gross,1981,25533818
Gross,1982,35856053
Gross,1983,40382659
Gross,1984,119285432
Gross,1985,63456988
Gross,1986,59303359
Gross,1987,40716963
Gross,1988,36565280
Gross,1989,10853418
Gross,1990,95461682
Gross,1991,5073
Gross,1992,15965924
Gross,1993,
Gross,1994,31672907
Gross,1995,17985893
Gross,1996,14110013
Gross,1997,1752634
Gross,1998,20962615
Gross,1999,20471382
Gross,2000,19032261
Gross,2001,26279000
Gross,2002,12376625
Gross,2003,14920781
Gross,2004,8279042
Gross,2005,6400000
Gross,2006,5732587
Gross,2007,17374595
Gross,2008,
Gross,2009,14867086
Gross,2010,123843
Gross,2011,23371905
Gross,2012,5672031
Gross,2013,7886857
Gross,2014,636796
Gross,2015,26890068
Gross,2016,31206251
Gross,2017,12850276
Gross,2018,
Gross,2019,19905359
Gross,2020,37000000
Gross,1980,35610100
Gross,1981,29916207
Gross,1982,237000
Gross,1983,17583634
Gross,1984,10626725
Gross,1985,5165432
Gross,1986,8124257
Gross,1987,2447576
Gross,1988,15578237
Gross,1989,110014
Gross,1990,5229643
Gross,1991,29200000
Gross,1992,1118634
Gross,1993,
Gross,1994,18826490
Gross,1995,9566593
Gross,1996,20259961
Gross,1997,14923752
Gross,1998,12042
Gross,1999,
Gross,2000,26154211
Gross,2001,9171289
Gross,2002,
Gross,2003,12617845
Gross,2004,2022771
Gross,2005,1169875
Gross,2006,
Gross,2007,3256082
Gross,2008,14492125
Gross,2009,7258543
Gross,2010,31261269
Gross,2011,2863642
Gross,2012,2154696
Gross,2013,11809387
Gross,2014,17569027
Gross,2015,1976198
Gross,2016,8206145
Gross,2017,5200986
Gross,2018,4454295
Gross,2019,3702028
Gross,2020,10851261
Gross,1980,25524778
Gross,1981,2004742
Gross,1982,18838812
Gross,1983,1791147
Gross,1984,
Gross,1985,16000000
Gross,1986,6892098
Gross,1987,
Gross,1988,12000000
Gross,1989,17110
Gross,1990,1622898
Gross,1991,27092880
Gross,1992,41676878
Gross,1993,19632053
Gross,1994,68851475
Gross,1995,792910554
Gross,1996,125212904
Gross,1997,129795554
Gross,1998,15171476
Gross,1999,57063861
Gross,2000,77142388
Gross,2001,78868508
Gross,2002,78912963
Gross,2003,5588800
Gross,2004,5829781
Gross,2005,30036000
Gross,2006,52767889
Gross,2007,177200000
Gross,2008,33000525
Gross,2009,14665733
Gross,2010,2536242
Gross,2011,125052686
Gross,2012,14056528
Gross,2013,21028755
Gross,2014,20659423
Gross,2015,22265763
Gross,2016,7000000
Gross,2017,6795771
Gross,2018,36690067
Gross,2019,46708276
Gross,2020,14400000
Gross,1980,41630431
Gross,1981,53993738
Gross,1982,2032311
Gross,1983,16897768
Gross,1984,20225989
Gross,1985,29712172
Gross,1986,14099953
Gross,1987,69701637
Gross,1988,10278575
Gross,1989,21095638
Gross,1990,4968000
Gross,1991,28229046
Gross,1992,6455330
Gross,1993,13277558
Gross,1994,27150534
Gross,1995,47118057
Gross,1996,10604986
Gross,1997,6110670
Gross,1998,39103425
Gross,1999,4786789
Gross,2000,4300000
Gross,2001,14949697
Gross,2002,55269
Gross,2003,20307325
Gross,2004,5678950
Gross,2005,11919250
Gross,2006,33759266
Gross,2007,8400000
Gross,2008,8443124
Gross,2009,6472990
Gross,2010,15856028
Gross,2011,12232628
Gross,2012,29309766
Gross,2013,2306560
Gross,2014,1246141
Gross,2015,2082215
Gross,2016,10219460
Gross,2017,10353438
Gross,2018,17488564
Gross,2019,7175592
Gross,2020,30503151
Gross,1980,10375893
Gross,1981,4319001
Gross,1982,13000000
Gross,1983,1402962
Gross,1984,23646952
Gross,1985,6149983
Gross,1986,16478265
Gross,1987,28445927
Gross,1988,29600000
Gross,1989,694497
Gross,1990,30379
Gross,1991,10676194
Gross,1992,14648076
Gross,1993,5563663
Gross,1994,5696391
Gross,1995,6333135
Gross,1996,2044892
Gross,1997,6486797
Gross,1998,13168027
Gross,1999,11798616
Gross,2000,
Gross,2001,
Gross,2002,13030214
Gross,2003,123572
Gross,2004,724912
Gross,2005,15543710
Gross,2006,2810199
Gross,2007,1080470
Gross,2008,4491986
Gross,2009,16134627
Gross,2010,5997566
Gross,2011,14000000
Gross,2012,1223200
Gross,2013,5555305
Gross,2014,5310748
Gross,2015,11787127
Gross,2016,
Gross,2017,10964740
Gross,2018,6670680
Gross,2019,10369581
Gross,2020,1262691
Gross,1980,17613720
Gross,1981,6347072
Gross,1982,1867792
Gross,1983,1772889
Gross,1984,
Gross,1985,687475
Gross,1986,272278
Gross,1987,5269990
Gross,1988,1645711
Gross,1989,1963756
Gross,1990,1362303
Gross,1991,12049514
Gross,1992,5301085
Gross,1993,975414
Gross,1994,1530839
Gross,1995,
Gross,1996,10171304
Gross,1997,3000000
Gross,1998,1818910
Gross,1999,4304286
Gross,2000,1723487
Gross,2001,2443487
Gross,2002,2439705
Gross,2003,6857733
Gross,2004,
Gross,2005,2314561
Gross,2006,
Gross,2007,108128
Gross,2008,
Gross,2009,16156776
Gross,2010,
Gross,2011,26177